66.29 # 16.11   #54.15 # 62.81
30.71 # 50.41   #62.43 # 35.16 #47.59 #97.9 #37.06 #55.15 #71.64
27.23 # 13.72
42.95 # 23.62   #25.65 # 34.9#9.15 #27.24
77.25 # 29.82   #84.65 # 0.81 #93.82 #85.54
89.91 # 66.56   #79.59 # 66.07
52.89 # 93.04
73.07 # 14.27   #40.14 # 51.84 #87.86 #99.96 #15.99
39.39 # 77.6   #78.39 # 17.19 #4.09
17.25 # 80.21   #6.45 # 54.17 #41.5 #57.43
88.79 # 43.53   #21.73 # 79.49
2.45 # 34.21
19.32 # 16.11   #54.15 # 62.81
61.88 # 5.02   #29.39 # 84.61#87.35 #60.46
33.36 # 36.31   #86.91 # 60.18
69.34 # 35.96   #46.01 # 76.6 #63.8
5.32 # 69.16
98.39 # 37.93   #53.93 # 89.72 #41.99 #30.37 #95.57 #68.83 #38.43 #59.2
11.56 # 60.18   #76.26 # 21.35 #74.81 #88.63
81.21 # 53.82   #83.22 # 74.45
29.53 # 10.54   #5.78 # 84.48 #73.47 #27.23
30.41 # 45.31   #21.53 # 78.67 #81.13
95.18 # 31.02   #55.64 # 97.16#26.45 #11.54 #55 #43.24 # 4.16 #93.58 #51.57 #89.53 #28.79
35.31 # 17.38   #69.5 # 79.21 #81.69
64.18 # 95.73
94.98 # 66.56   #79.59 # 66.07
86.89 # 9.78#17.1#5.3#19.12345
15.17 # 74.48   #51.08 # 74.56
66.23 # 23.78   #18.23 # 74.87 #47.94 #88.9 #65.67 #59.84
18.44 # 33.09   #36.98 # 75.09 #71.67 #51.65 #88.1
4.58 # 94.24
53.99 # 77.6   #78.39 # 17.19 #4.09
25.23 # 25.13   #55.67 # 64.33 #28.48 #98.62 #10.16
71.85 # 53.82   #83.22 # 74.45
20.83 # 77.54   #85.25 # 173.3 #49.88 #94.7
70.95 # 38.93   #69.79 # 41.35 #67.8
86.46 # 10.54   #5.78 # 84.48 #73.47 #27.23
90.74 # 31.02   #55.64 # 97.16#26.45 #11.54 #55 #43.24 # 4.16 #93.58 #51.57 #89.53 #28.79
39.09 # 42.99   #57.24 # 24.93 #22.01
1.08 # 17.38   #69.5 # 79.21 #81.69
96.63 # 80.08
49.68 # 85.41   #9.7 # 68.56
12.14 # 13.72
7.24 # 5.02   #29.39 # 84.61#87.35 #60.46
20.07 # 51.27   #87.89 # 6.28 #40.2 #99.31 #26.82 #35.18
8.94 # 53.7   #29.11 # 23.53 #44.4 #10.62 #41.96 #22.47
91.25 # 56.62   #59.73 # 79.94
34.05 # 25.13   #55.67 # 64.33 #28.48 #98.62 #10.16
27.47 # 69.52   #90.25 # 92.02 #7.49
30.58 # 7.63   #37.12 # 86.23 #64.17
23.39 # 116.26   #30.86 # 92.57 #98.37
47.65 # 519.77   #21.5 # 48.1 #13.42 #89.64
19.70 # 17.11   #65.59 # 16.01 #63.92 #66.23 #61.87 #89.45
18.79 # 68.81
70.45 # 59.02   #73.4 # 88.76 #53.33 #68.47 #2.36 #56.1 # 66.16 #11.24 #50.44
9.17 # 77.21   #14.14 # 87.14 #0.94 #23.66 #33.43
83.60 # 62.47   #48.48 # 0.82 #9.01 #92.48 #84.89
